2019,CASENUM,Fatality,DUI_Vio,Speed_Vio,Restraint_Vio,Pandemic,Urban,Rollover,SurfaceCond,MONTH
2019,201901198086,0,0,0,0,0,1,0,0,1
2019,201901198125,0,0,0,0,0,1,0,0,1
2019,201901198134,0,0,0,0,0,1,0,0,1
2019,201901199424,0,0,0,0,0,0,0,0,1
2019,201901199425,0,0,0,0,0,0,0,0,1
2019,201901199426,0,0,0,0,0,0,0,0,1
2019,201901199428,0,0,0,0,0,0,0,0,1
2019,201901199429,0,0,0,0,0,0,0,0,1
2019,201901199435,0,0,0,0,0,0,0,0,1
2019,201901199438,0,0,1,0,0,0,0,1,1
2019,201901199441,1,0,0,0,0,0,0,0,1
2019,201901199459,0,0,0,0,0,1,0,0,1
2019,201901199559,0,0,0,0,0,1,0,0,1
2019,201901199602,0,0,0,0,0,1,0,0,1
2019,201901199608,0,0,0,0,0,1,1,0,1
2019,201901199613,0,0,0,0,0,1,0,0,1
2019,201901199789,0,0,0,0,0,1,0,0,1
2019,201901199821,0,0,0,0,0,1,0,0,1
2019,201901199951,0,0,0,0,0,1,0,0,1
2019,201901200141,0,0,0,0,0,1,0,0,1
2019,201901200171,0,0,0,0,0,1,0,0,1
2019,201901200299,0,0,0,0,0,1,0,0,1
2019,201901200448,0,0,0,0,0,1,0,0,1
2019,201901200470,0,0,0,0,0,1,0,0,1
2019,201901200481,0,0,0,0,0,0,0,1,1
2019,201901200534,0,0,0,0,0,1,0,0,1
2019,201901200549,0,0,0,0,0,1,0,0,1
2019,201901200550,0,0,0,0,0,1,0,0,1
2019,201901200594,0,0,0,0,0,1,0,0,1
2019,201901200632,0,0,0,0,0,1,0,0,1
2019,201901200642,0,0,0,0,0,1,0,0,1
2019,201901200651,0,0,0,0,0,1,0,0,1
2019,201901200664,0,0,0,0,0,1,0,0,1
2019,201901200722,0,0,0,0,0,1,0,0,1
2019,201901200757,0,0,0,0,0,1,0,0,1
2019,201901200758,0,0,0,0,0,1,0,1,1
2019,201901200759,0,0,0,0,0,1,0,0,1
2019,201901200768,0,0,0,0,0,1,0,0,1
2019,201901200772,0,0,0,0,0,0,0,0,1
2019,201901200775,1,0,0,0,0,0,0,0,1
2019,201901200781,0,0,0,0,0,1,0,0,1
2019,201901200832,0,0,0,0,0,1,0,0,1
2019,201901200861,0,0,0,0,0,1,0,0,1
2019,201901200886,0,0,0,0,0,1,0,0,1
2019,201901200898,0,0,0,0,0,1,0,1,1
2019,201901200999,0,0,0,0,0,1,0,0,1
2019,201901201096,0,0,0,0,0,1,0,0,1
2019,201901201126,0,0,0,0,0,0,0,1,1
2019,201901201130,0,0,0,0,0,0,0,0,1
2019,201901201158,0,0,0,0,0,1,0,0,1
2019,201901201159,0,0,0,0,0,1,0,0,1
2019,201901201376,0,0,0,0,0,1,0,0,1
2019,201901201391,0,1,0,0,0,1,0,0,1
2019,201901201393,0,0,0,0,0,1,0,0,1
2019,201901201462,0,0,0,0,0,1,0,0,1
2019,201901201479,0,0,0,0,0,1,0,0,1
2019,201901201652,0,0,0,0,0,1,0,0,1
2019,201901201761,0,0,0,0,0,1,0,0,1
2019,201901201801,0,0,0,0,0,1,0,0,1
2019,201901201928,0,0,0,0,0,1,0,0,1
2019,201901201960,0,0,0,0,0,1,0,0,1
2019,201901202010,0,0,0,0,0,1,0,0,1
2019,201901202049,0,0,0,0,0,1,0,0,1
2019,201901202077,0,0,0,0,0,0,0,1,1
2019,201901202088,0,0,0,0,0,0,0,0,1
2019,201901202099,0,0,0,0,0,1,0,0,1
2019,201901202125,0,0,0,0,0,1,0,0,1
2019,201901202133,0,0,0,0,0,1,0,0,1
2019,201901202164,0,0,0,0,0,1,0,0,1
2019,201901202175,0,0,0,0,0,1,0,0,1
2019,201901202257,0,0,0,0,0,1,0,0,1
2019,201901202277,0,0,0,0,0,1,0,0,1
2019,201901202347,0,0,0,0,0,1,0,0,1
2019,201901202413,0,0,0,0,0,1,0,0,1
2019,201901202429,0,0,0,0,0,1,0,0,1
2019,201901202431,0,0,0,0,0,1,0,0,1
2019,201901202490,0,0,0,0,0,1,0,0,1
2019,201901202643,0,0,0,0,0,1,0,0,1
2019,201901202654,0,0,0,0,0,1,0,0,1
2019,201901202668,0,0,0,0,0,1,0,0,1
2019,201901202676,0,0,0,0,0,1,1,1,1
2019,201901202689,0,0,0,0,0,1,0,0,1
2019,201901202697,0,0,0,0,0,1,0,0,1
2019,201901202717,0,0,0,0,0,1,0,0,1
2019,201901202733,0,0,0,0,0,1,0,0,1
2019,201901202738,0,0,0,0,0,1,0,0,1
2019,201901202744,0,0,0,0,0,1,0,0,1
2019,201901202749,0,0,0,0,0,1,1,0,1
2019,201901202773,0,0,0,0,0,1,0,0,1
2019,201901202775,0,0,0,0,0,1,0,0,1
2019,201901202776,0,0,0,0,0,1,0,0,1
2019,201901202804,0,0,0,0,0,1,0,0,1
2019,201901202811,0,0,0,0,0,1,0,0,1
2019,201901202838,0,0,0,0,0,1,0,0,1
2019,201901202840,0,0,0,0,0,1,0,0,1
2019,201901202844,0,0,0,0,0,1,0,0,1
2019,201901202864,0,0,0,0,0,1,0,0,1
2019,201901202868,0,0,0,0,0,1,0,0,1
2019,201901202871,0,0,0,0,0,1,0,1,1
2019,201901202885,0,0,0,0,0,1,0,0,1
2019,201901202906,0,0,0,0,0,0,0,0,1
2019,201901202917,0,0,0,0,0,0,0,0,1
2019,201901202920,0,0,0,0,0,0,0,0,1
2019,201901202928,0,0,0,0,0,0,0,0,1
2019,201901202929,0,0,0,0,0,0,0,0,1
2019,201901202937,0,0,0,0,0,0,0,0,1
2019,201901202939,0,0,0,0,0,0,0,0,1
2019,201901202944,0,0,0,0,0,0,0,0,1
2019,201901202946,0,0,0,0,0,0,0,0,1
2019,201901202960,0,0,0,0,0,0,0,0,1
2019,201901202962,0,0,0,0,0,0,0,0,1
2019,201901202964,0,0,0,0,0,0,0,0,1
2019,201901202969,0,0,0,0,0,0,0,0,1
2019,201901202971,0,0,0,0,0,0,0,0,1
2019,201901202981,0,0,0,0,0,0,0,0,1
2019,201901202989,0,0,0,0,0,0,0,0,1
2019,201901202993,0,0,0,0,0,0,0,0,1
2019,201901202995,0,0,0,0,0,0,0,0,1
2019,201901202998,0,0,0,0,0,0,0,0,1
2019,201901203001,0,0,0,0,0,0,0,0,1
2019,201901203003,0,0,0,0,0,0,0,0,1
2019,201901203007,0,0,0,0,0,0,0,0,1
2019,201901203014,0,1,0,0,0,0,0,0,1
2019,201901203027,0,0,0,0,0,0,0,1,1
2019,201901203030,1,0,0,0,0,0,0,1,1
2019,201901203033,0,0,0,0,0,0,0,1,1
2019,201901203035,0,1,0,0,0,0,0,1,1
2019,201901203060,0,0,0,0,0,0,0,0,1
2019,201901203063,0,0,0,0,0,0,0,0,1
2019,201901203083,0,0,0,0,0,1,0,0,1
2019,201901203164,0,0,0,0,0,1,0,0,1
2019,201901203181,0,0,0,0,0,1,0,0,1
2019,201901203186,0,0,0,0,0,1,0,0,1
2019,201901203190,0,0,0,0,0,1,0,1,1
2019,201901203195,0,0,0,0,0,1,0,0,1
2019,201901203211,0,0,0,0,0,0,0,1,1
2019,201901203215,0,0,0,0,0,0,0,0,1
2019,201901203219,0,0,0,0,0,1,0,0,1
2019,201901203248,0,0,0,0,0,1,0,0,1
2019,201901203471,0,0,0,0,0,1,0,0,1
2019,201901203482,0,0,0,0,0,1,0,0,1
2019,201901203483,0,0,0,0,0,1,0,0,1
2019,201901203487,0,0,0,0,0,1,0,0,1
2019,201901203489,0,0,0,0,0,1,0,0,1
2019,201901203490,0,0,0,0,0,1,0,0,1
2019,201901203496,0,0,0,0,0,1,0,0,1
2019,201901203498,0,0,0,0,0,1,0,1,1
2019,201901203503,0,0,0,0,0,1,0,1,1
2019,201901203505,0,0,0,0,0,1,0,1,1
2019,201901203518,0,0,0,0,0,1,0,1,1
2019,201901203856,0,0,0,0,0,1,0,0,1
2019,201901203882,0,0,0,0,0,1,0,1,1
2019,201901203897,0,0,0,0,0,1,0,0,1
2019,201901204522,0,1,0,0,0,0,0,0,1
2019,201901204524,0,0,0,0,0,0,0,0,1
2019,201901204526,0,0,0,0,0,0,0,0,1
2019,201901204540,0,0,1,0,0,0,0,0,1
2019,201901204591,0,0,0,0,0,1,0,0,1
2019,201901204611,0,0,0,0,0,1,1,0,1
2019,201901204692,0,0,0,0,0,1,0,0,1
2019,201901204731,0,0,0,0,0,1,0,0,1
2019,201901204761,0,0,0,0,0,1,0,0,1
2019,201901204967,0,0,0,0,0,1,0,1,1
2019,201901205000,0,0,0,0,0,1,0,1,1
2019,201901205038,0,0,0,0,0,1,0,0,1
2019,201901205153,0,0,0,0,0,1,0,0,1
2019,201901205179,0,0,0,0,0,0,0,0,1
2019,201901205182,0,0,0,0,0,0,0,0,1
2019,201901205186,0,0,0,0,0,0,0,0,1
2019,201901205232,0,0,0,0,0,1,0,0,1
2019,201901205234,0,0,0,0,0,1,0,1,1
2019,201901205236,0,0,0,0,0,1,0,0,1
2019,201901205240,0,1,0,0,0,1,0,0,1
2019,201901205269,0,0,0,0,0,1,0,0,1
2019,201901205272,0,0,0,0,0,1,0,0,1
2019,201901205275,0,0,0,0,0,1,0,0,1
2019,201901205288,0,0,0,0,0,1,0,0,1
2019,201901205295,0,0,0,0,0,0,1,1,1
2019,201901205299,0,0,0,0,0,0,1,1,1
2019,201901205302,0,0,0,0,0,0,0,1,1
2019,201901205307,0,0,0,0,0,1,0,0,1
2019,201901205389,0,0,0,0,0,1,0,0,1
2019,201901205494,0,0,0,0,0,1,0,0,1
2019,201901205605,0,0,0,0,0,1,0,0,1
2019,201901205922,0,0,0,0,0,1,0,0,1
2019,201901206065,0,0,0,0,0,1,1,0,1
2019,201901206084,0,0,0,0,0,1,0,0,1
2019,201901206098,0,0,0,0,0,1,0,0,1
2019,201901207063,0,0,0,0,0,0,0,0,1
2019,201901207066,0,0,0,0,0,0,0,1,1
2019,201901207068,0,0,0,0,0,0,0,0,1
2019,201901207070,0,0,0,0,0,0,0,0,1
2019,201901207071,0,0,0,0,0,0,0,1,1
2019,201901207073,0,0,1,0,0,0,1,0,1
2019,201901207074,0,0,0,0,0,0,0,0,1
2019,201901207076,0,0,1,0,0,0,1,1,1
2019,201901207077,0,0,0,0,0,0,0,0,1
2019,201901207078,0,0,0,0,0,0,0,0,1
2019,201901207079,0,0,0,0,0,0,0,0,1
2019,201901207080,0,0,0,0,0,0,0,0,1
2019,201901207085,0,0,0,0,0,0,0,1,1
2019,201901207089,0,0,0,0,0,0,0,0,1
2019,201901207096,0,0,0,0,0,0,0,0,1
2019,201901207165,0,0,0,0,0,1,0,0,1
2019,201901207285,0,0,0,0,0,1,0,0,1
2019,201901207310,0,0,0,0,0,0,0,1,1
