CASENUM,Fatality,DUI_Vio,Speed_Vio,Restraint_Vio,Pandemic,Urban,Rollover,SurfaceCond,MONTH
201901199951,0,0,0,0,0,1,0,0,1
201901200141,0,0,0,0,0,1,0,0,1
201901200171,0,0,0,0,0,1,0,0,1
201901200299,0,0,0,0,0,1,0,0,1
201901200448,0,0,0,0,0,1,0,0,1
201901200470,0,0,0,0,0,1,0,0,1
201901200481,0,0,0,0,0,0,0,1,1
201901200534,0,0,0,0,0,1,0,0,1
201901200549,0,0,0,0,0,1,0,0,1
201901200550,0,0,0,0,0,1,0,0,1
201901200594,0,0,0,0,0,1,0,0,1
201901200632,0,0,0,0,0,1,0,0,1
201901200642,0,0,0,0,0,1,0,0,1
201901200651,0,0,0,0,0,1,0,0,1
201901200664,0,0,0,0,0,1,0,0,1
201901200722,0,0,0,0,0,1,0,0,1
201901200757,0,0,0,0,0,1,0,0,1
201901200758,0,0,0,0,0,1,0,1,1
201901200759,0,0,0,0,0,1,0,0,1
201901200768,0,0,0,0,0,1,0,0,1
201901200772,0,0,0,0,0,0,0,0,1
201901200775,1,0,0,0,0,0,0,0,1
201901200781,0,0,0,0,0,1,0,0,1
201901200832,0,0,0,0,0,1,0,0,1
201901200861,0,0,0,0,0,1,0,0,1
201901200886,0,0,0,0,0,1,0,0,1
201901200898,0,0,0,0,0,1,0,1,1
201901200999,0,0,0,0,0,1,0,0,1
201901201096,0,0,0,0,0,1,0,0,1
201901201126,0,0,0,0,0,0,0,1,1
201901201130,0,0,0,0,0,0,0,0,1
201901201158,0,0,0,0,0,1,0,0,1
201901201159,0,0,0,0,0,1,0,0,1
201901201376,0,0,0,0,0,1,0,0,1
201901201391,0,1,0,0,0,1,0,0,1
201901201393,0,0,0,0,0,1,0,0,1
201901201462,0,0,0,0,0,1,0,0,1
201901201479,0,0,0,0,0,1,0,0,1
201901201652,0,0,0,0,0,1,0,0,1
201901201761,0,0,0,0,0,1,0,0,1
201901201801,0,0,0,0,0,1,0,0,1
201901201928,0,0,0,0,0,1,0,0,1
201901201960,0,0,0,0,0,1,0,0,1
201901202010,0,0,0,0,0,1,0,0,1
201901202049,0,0,0,0,0,1,0,0,1
201901202077,0,0,0,0,0,0,0,1,1
201901202088,0,0,0,0,0,0,0,0,1
201901202099,0,0,0,0,0,1,0,0,1
201901202125,0,0,0,0,0,1,0,0,1
201901202133,0,0,0,0,0,1,0,0,1
201901202164,0,0,0,0,0,1,0,0,1
201901202175,0,0,0,0,0,1,0,0,1
201901202257,0,0,0,0,0,1,0,0,1
201901202277,0,0,0,0,0,1,0,0,1
201901202347,0,0,0,0,0,1,0,0,1
201901202413,0,0,0,0,0,1,0,0,1
201901202429,0,0,0,0,0,1,0,0,1
201901202431,0,0,0,0,0,1,0,0,1
201901202490,0,0,0,0,0,1,0,0,1
201901202643,0,0,0,0,0,1,0,0,1
201901202654,0,0,0,0,0,1,0,0,1
201901202668,0,0,0,0,0,1,0,0,1
201901202676,0,0,0,0,0,1,1,1,1
201901202689,0,0,0,0,0,1,0,0,1
201901202697,0,0,0,0,0,1,0,0,1
201901202717,0,0,0,0,0,1,0,0,1
201901202733,0,0,0,0,0,1,0,0,1
201901202738,0,0,0,0,0,1,0,0,1
201901202744,0,0,0,0,0,1,0,0,1
201901202749,0,0,0,0,0,1,1,0,1
201901202773,0,0,0,0,0,1,0,0,1
201901202775,0,0,0,0,0,1,0,0,1
201901202776,0,0,0,0,0,1,0,0,1
201901202804,0,0,0,0,0,1,0,0,1
201901202811,0,0,0,0,0,1,0,0,1
201901202838,0,0,0,0,0,1,0,0,1
201901202840,0,0,0,0,0,1,0,0,1
201901202844,0,0,0,0,0,1,0,0,1
201901202864,0,0,0,0,0,1,0,0,1
201901202868,0,0,0,0,0,1,0,0,1
201901202871,0,0,0,0,0,1,0,1,1
201901202885,0,0,0,0,0,1,0,0,1
201901202906,0,0,0,0,0,0,0,0,1
201901202917,0,0,0,0,0,0,0,0,1
201901202920,0,0,0,0,0,0,0,0,1
201901202928,0,0,0,0,0,0,0,0,1
201901202929,0,0,0,0,0,0,0,0,1
201901202937,0,0,0,0,0,0,0,0,1
201901202939,0,0,0,0,0,0,0,0,1
201901202944,0,0,0,0,0,0,0,0,1
201901202946,0,0,0,0,0,0,0,0,1
201901202960,0,0,0,0,0,0,0,0,1
201901202962,0,0,0,0,0,0,0,0,1
201901202964,0,0,0,0,0,0,0,0,1
201901202969,0,0,0,0,0,0,0,0,1
201901202971,0,0,0,0,0,0,0,0,1
201901202981,0,0,0,0,0,0,0,0,1
201901202989,0,0,0,0,0,0,0,0,1
201901202993,0,0,0,0,0,0,0,0,1
201901202995,0,0,0,0,0,0,0,0,1
201901202998,0,0,0,0,0,0,0,0,1
201901203001,0,0,0,0,0,0,0,0,1
201901203003,0,0,0,0,0,0,0,0,1
201901203007,0,0,0,0,0,0,0,0,1
201901203014,0,1,0,0,0,0,0,0,1
201901203027,0,0,0,0,0,0,0,1,1
201901203030,1,0,0,0,0,0,0,1,1
201901203033,0,0,0,0,0,0,0,1,1
201901203035,0,1,0,0,0,0,0,1,1
201901203060,0,0,0,0,0,0,0,0,1
201901203063,0,0,0,0,0,0,0,0,1
201901203083,0,0,0,0,0,1,0,0,1
201901203164,0,0,0,0,0,1,0,0,1
201901203181,0,0,0,0,0,1,0,0,1
201901203186,0,0,0,0,0,1,0,0,1
201901203190,0,0,0,0,0,1,0,1,1
201901203195,0,0,0,0,0,1,0,0,1
201901203211,0,0,0,0,0,0,0,1,1
201901203215,0,0,0,0,0,0,0,0,1
